,imdb_id,title,genres,country,production_companies,budget,revenue,duration,actors,director,month,date,year
628,242252,"Affair of the Necklace, The (2001)",Drama,0,Alcon Entertainment,30000000,125523,118,Hilary Swank;Simon Baker;Jonathan Pryce;Adrien Brody;Brian Cox;Joely Richardson;Christopher Walken;Hayden Panettiere;Simon Kunz;Paul Brooke;Peter Eyre;Frank McCusker;Simon Shackleton;Hermione Gulliford;Geoffrey Hutchings;James Vaughan;Jonathan Newth;Kristina Bill,Charles Shyer,December,7,2001
629,277371,Not Another Teen Movie (2001),Comedy,0,Columbia Pictures;Original Film;Neal H. Moritz Productions,15000000,12615116,89,Chyler Leigh;Jaime Pressly;Chris Evans;Eric Christian Olsen;Mia Kirshner;Deon Richmond;Eric Jungmann;Ron Lester;Cody McMains;Sam Huntington;JoAnna Garcia Swisher;Lacey Chabert;Samm Levine;Cerina Vincent;Beverly Polcyn;Ed Lauter;Paul Gleason;Mr. T,Joel Gallen,December,14,2001
630,280778,Iris (2001),Drama,1,British Broadcasting Corporation (BBC);Fox Iris Productions;Intermedia Films,5500000,23144,91,Judi Dench;Jim Broadbent;Kate Winslet;Hugh Bonneville;Eleanor Bron;Angela Morant;Penelope Wilton;Siobhan Hayes;Juliet Aubrey;Joan Bakewell;Nancy Carroll;Kris Marshall;Tom Mannion;Derek Hutchinson;Samuel West;Saira Todd;Juliet Howland;Charlotte Arkwright,Richard Eyre,March,29,2002
631,278488,How High (2001),Comedy,0,Jersey Films;Native Pictures Productions,20000000,7102260,93,Method Man;Redman;Obba Babatundé;Mike Epps;Anna Maria Horsford;Fred Willard;Jeffrey Jones;Hector Elizondo;Lark Voorhies;Al Shearer;Chuck Deezy;Essence Atkins;Chris Elwood;T.J. Thyne;Justin Urich;Trieu Tran;Dennison Samaroo;Tracey Walter,Jesse Dylan,December,21,2001
632,248667,Ali (2001),Drama,0,Columbia Pictures;Forward Pass;Initial Entertainment Group (IEG),107000000,14710892,157,Will Smith;Jamie Foxx;Jon Voight;Mario Van Peebles;Ron Silver;Jeffrey Wright;Mykelti Williamson;Jada Pinkett Smith;Nona Gaye;Michael Michele;Joe Morton;Paul Rodriguez;Bruce McGill;Barry Shabaka Henley;Giancarlo Esposito;Laurence Mason;LeVar Burton;Albert Hall,Michael Mann,December,25,2001
633,277027,I Am Sam (2001),Drama,0,New Line Cinema;Avery Pix;The Bedford Falls Company,22000000,41779,132,Sean Penn;Michelle Pfeiffer;Dakota Fanning;Dianne Wiest;Loretta Devine;Richard Schiff;Laura Dern;Brad Silverman;Joseph Rosenberg;Stanley DeSantis;Doug Hutchison;Rosalind Chao;Ken Jenkins;Wendy Phillips;Mason Lucero;Scott Paulin;Bobby Cooper;Kit McDonough,Jessie Nelson,January,25,2002
634,120824,"Shipping News, The (2001)",Drama,1,Miramax,38000000,1205174,111,Kevin Spacey;Julianne Moore;Judi Dench;Cate Blanchett;Pete Postlethwaite;Scott Glenn;Rhys Ifans;Gordon Pinsent;Jason Behr;Larry Pine;Jeannetta Arnette;Robert Joy;Alyssa Gainer;Kaitlyn Gainer;Lauren Gainer;John Dunsworth;Anthony Cipriano;Kyle Timothy Smith,Lasse Hallström,January,18,2002
635,105789,"Waterdance, The (1992)",Drama,0,No Frills Film Production;RCA/Columbia Pictures Home Video,2700000,138313,106,Eric Stoltz;Helen Hunt;Wesley Snipes;William Allen Young;James Roach;Elizabeth Peña;Henry Harris;Tony Genaro;Eva Rodriguez;Erick Vigil;Edgar Rodriguez;Angélica Castell;William Forsythe;Grace Zabriskie;Kimberly Scott;Casey Stengel;Susan Gibney;Elizabeth Dennehy,Neal Jimenez;Michael Steinberg,May,13,1992
636,273923,Orange County (2002),Comedy,0,Paramount Pictures;MTV Films;Scott Rudin Productions,18000000,15053226,82,Colin Hanks;Jack Black;Schuyler Fisk;Bret Harrison;Kyle Howard;R.J. Knoll;Catherine O'Hara;Mike White;John Lithgow;Lily Tomlin;George Murdock;Lillian Hurst;Chevy Chase;Olivia Rosewood;Carly Pope;Natasha Melnick;Manu Intiraymi;Fran Kranz,Jake Kasdan,January,11,2002
637,109417,China Moon (1994),Thriller,0,Tig Productions,15000000,1183843,99,Ed Harris;Madeleine Stowe;Charles Dance;Patricia Healy;Benicio Del Toro;Tim Powell;Pruitt Taylor Vince;Larry Shuler;Robb Edward Morris;Paul Darby;Theresa Bean;Allen Prince;Sam Myers;Anson Funderburgh;Matt McCabe;Jim Milan;Danny Cochran;Gregory Avellone,John Bailey,March,4,1994
638,80754,"Formula, The (1980)",Thriller,1,Metro-Goldwyn-Mayer (MGM);CIP Filmproduktion GmbH,13200000,842985,117,George C. Scott;Marlon Brando;Marthe Keller;John Gielgud;G.D. Spradlin;Beatrice Straight;Richard Lynch;John Van Dreelen;Robin Clarke;Ike Eisenmann;Marshall Thompson;Dieter Schidor;Werner Kreindl;Jan Niklas;Wolfgang Preiss;Calvin Jung;Alan North;David Byrd,John G. Avildsen,December,19,1980
639,109288,Blankman (1994),Comedy,0,Columbia Pictures;Wife 'n' Kids,30000000,3715480,92,Damon Wayans;David Alan Grier;Robin Givens;Christopher Lawford;Lynne Thigpen;Jon Polito;Nick Corello;Jason Alexander;Harris Peet;Joseph Vassallo;Michael Wayans;Damon Wayans Jr.;John Moschitta Jr.;Frazer Smith;Mark Schiff;Gerry Black;Robert Schimmel;Mike Binder,Mike Binder,August,19,1994
640,219405,Waydowntown (2000),Comedy,1,Alberta Foundation for the Arts;Burns Film Ltd.;CFCN Production Fund,1000000,21489,87,Fab Filippo;Don McKellar;Marya Delver;Gordon Currie;Tammy Isbell;Tobias Godson;Jennifer Clement;James McBurney;Derek Flores;Xantha Radley;Dan Willmott;Judith Buchan;Michelle Beaudoin;Harris Hart;Nick Cleary;Brian Stollery;John Markey;Mike Eberly,Gary Burns,January,25,2002
641,240900,Slackers (2002),Comedy,1,Alliance Atlantis Communications;Destination Films;Original Film,14000000,2785283,86,Devon Sawa;Robert B. Martin Jr.;Jason Segel;Michael C. Maronna;Jason Schwartzman;Jaime King;Laura Prepon;Travis Davis;Jim Rash;Nat Faxon;Don Michaelson;Retta;Marilyn Staley;Jason Garner;Gedde Watanabe;Heidi Kramer;Alissa Kramer;Michael McDonald,Dewey Nicks,February,1,2002
642,82525,Honky Tonk Freeway (1981),Comedy,0,EMI Films;Honky Tonk Freeway Company;Kendon Films,24000000,939423,107,David Rasche;Paul Jabara;Howard Hesseman;Teri Garr;Jenn Thompson;Peter Billingsley;Beau Bridges;Beverly D'Angelo;Daniel Stern;Sandra McCabe;Celia Weston;Deborah Rush;Geraldine Page;George Dzundza;Joe Grifasi;Hume Cronyn;Jessica Tandy;Frances Lee McCain,John Schlesinger,August,21,1981
643,109190,Baby's Day Out (1994),Comedy,0,Twentieth Century Fox;Hughes Entertainment;20th Century Studios,48000000,4044662,99,Lara Flynn Boyle;Joe Mantegna;Joe Pantoliano;Brian Haley;Cynthia Nixon;Fred Thompson;John Neville;Matthew Glave;Adam Robert Worton;Jacob Joseph Worton;Brigid Duffy;Guy Hadley;Eddie Bracken;Kenneth L. Jordahl;Raymond Henders;Jim Foley;Jack Baird;Oscar Carr,Patrick Read Johnson,July,1,1994
644,85891,"Man Who Loved Women, The (1983)",Comedy,0,Delphi Films;Columbia Pictures,19000000,1347032,110,Burt Reynolds;Julie Andrews;Kim Basinger;Marilu Henner;Cynthia Sikes;Jennifer Edwards;Sela Ward;Ellen Bauer;Denise Crosby;Tracy Vaccaro;Barry Corbin;Ben Powers;Shelly Manne;Don Menza;Jimmy Rowles;Andrew Simpkins;Jill Carroll;Herb Tanney,Blake Edwards,December,16,1983
645,253200,Last Orders (2001),Drama,1,Future Films;MBP (Germany);Scala Productions,12000000,111676,109,Michael Caine;Bob Hoskins;Tom Courtenay;David Hemmings;Helen Mirren;Ray Winstone;JJ Feild;Cameron Fitch;Nolan Hemmings;Anatol Yusef;Kelly Reilly;Stephen McCole;George Innes;Laura Morelli;Sally Hurst;Denise Black;Sue James;Meg Wynn Owen,Fred Schepisi,January,11,2002
646,81071,"Long Riders, The (1980)",Western,0,United Artists;Huka Productions,10000000,2351112,100,David Carradine;Stacy Keach;Dennis Quaid;Keith Carradine;Robert Carradine;James Keach;Randy Quaid;Kevin Brophy;Harry Carey Jr.;Christopher Guest;Nicholas Guest;Shelby Leverington;Felice Orlandi;Pamela Reed;James Remar;Fran Ryan;Savannah Smith Boucher;Amy Stryker,Walter Hill,May,16,1980
